adc_mq135, adc_mq137, adc_mq138, adc_mq3, status
16955,14885,12816,19285,preheat
16957,14890,12818,19290,preheat
16964,14890,12820,19290,preheat
16969,14890,12830,19294,preheat
16972,14895,12834,19292,preheat
16970,14898,12837,19296,preheat
16975,14895,12839,19293,preheat
16978,14897,12849,19295,preheat
16983,14898,12852,19293,preheat
16978,14898,12851,19297,preheat
16983,14899,12855,19300,preheat
16982,14905,12856,19300,preheat
16981,14906,12859,19302,preheat
16982,14905,12857,19301,preheat
16984,14907,12857,19299,preheat
16984,14910,12857,19300,preheat
16985,14908,12855,19300,preheat
16982,14907,12854,19301,preheat
16982,14904,12846,19299,preheat
16980,14904,12841,19301,preheat
16976,14900,12840,19299,preheat
16974,14895,12836,19295,preheat
16968,14888,12831,19292,preheat
16963,14885,12823,19299,preheat
16963,14881,12813,19294,preheat
16953,14880,12804,19288,preheat
16950,14878,12799,19290,preheat
16950,14877,12798,19286,preheat
16952,14875,12802,19285,preheat
16955,14880,12803,19287,preheat
16955,14879,12802,19286,preheat
16957,14883,12806,19291,preheat
16957,14882,12809,19288,preheat
16959,14885,12816,19287,preheat
16951,14884,12816,19288,preheat
16951,14885,12822,19288,preheat
16952,14891,12830,19288,preheat
16956,14893,12839,19289,preheat
16965,14898,12841,19291,preheat
16970,14905,12847,19290,preheat
16978,14916,12862,19292,preheat
16986,14929,12879,19298,preheat
17001,14956,12906,19300,preheat
17043,15033,12958,19309,preheat
17134,15180,13068,19334,preheat
17288,15406,13257,19379,preheat
17505,15702,13565,19444,preheat
17763,16058,13944,19540,preheat
18066,16441,14330,19672,preheat
18384,16825,14715,19829,preheat
18699,17214,15119,20012,preheat
18993,17594,15519,20223,preheat
19252,17950,15920,20431,preheat
19479,18287,16297,20646,preheat
19691,18599,16633,20848,preheat
19869,18880,16947,21046,preheat
20029,19134,17254,21224,preheat
20169,19369,17528,21382,preheat
20299,19574,17789,21544,preheat
20417,19759,18045,21688,preheat
20528,19928,18279,21812,preheat
20624,20076,18471,21931,preheat
20701,20210,18639,22035,preheat
20778,20328,18788,22120,preheat
20859,20440,18933,22206,preheat
20929,20534,19074,22285,preheat
20988,20624,19197,22348,preheat
21039,20698,19306,22412,preheat
21082,20764,19400,22473,preheat
21123,20831,19478,22526,preheat
21162,20886,19539,22573,preheat
21197,20939,19598,22613,preheat
21230,20987,19658,22657,preheat
21264,21028,19714,22696,preheat
21296,21063,19767,22726,preheat
21325,21091,19819,22759,preheat
21343,21121,19862,22786,preheat
21366,21153,19893,22812,preheat
21386,21177,19931,22835,preheat
21409,21201,19972,22863,preheat
21421,21225,19985,22882,preheat
21439,21243,19999,22898,preheat
21453,21255,20012,22915,preheat
21460,21263,20021,22935,preheat
21462,21267,20045,22946,preheat
21462,21268,20058,22956,preheat
21460,21265,20074,22964,preheat
21462,21253,20088,22967,preheat
21449,21238,20088,22972,preheat
21439,21218,20094,22975,preheat
21423,21191,20088,22975,preheat
21403,21163,20072,22972,preheat
21382,21135,20044,22967,preheat
21359,21114,20007,22958,preheat
21342,21095,19981,22954,preheat
21328,21074,19957,22947,preheat
21316,21063,19937,22944,preheat
21311,21062,19929,22938,preheat
21301,21061,19920,22933,preheat
21299,21061,19905,22935,preheat
21294,21065,19896,22932,preheat
21299,21070,19890,22933,preheat
21307,21079,19889,22935,preheat
21318,21094,19897,22936,preheat
21321,21105,19905,22938,preheat
21333,21111,19918,22946,preheat
21341,21125,19932,22945,preheat
21355,21138,19934,22951,preheat
21363,21152,19946,22956,preheat
21371,21166,19957,22963,preheat
21378,21181,19968,22972,preheat
21392,21199,19983,22979,preheat
21402,21210,19999,22987,preheat
21420,21226,20010,22985,preheat
21430,21239,20012,23004,preheat
21449,21254,20048,23013,preheat
21453,21258,20074,23018,preheat
21465,21272,20096,23021,preheat
21472,21268,20106,23029,preheat
21466,21273,20101,23029,preheat
21476,21278,20105,23037,preheat
21479,21283,20111,23042,preheat
21487,21287,20111,23049,preheat
21489,21291,20112,23051,preheat
21492,21297,20119,23057,preheat
21495,21301,20134,23061,preheat
21498,21305,20149,23062,preheat
21495,21303,20162,23071,preheat
21494,21304,20171,23070,preheat
21493,21303,20160,23072,preheat
21493,21300,20149,23080,preheat
21493,21300,20147,23078,preheat
21492,21289,20139,23084,preheat
21487,21274,20133,23077,preheat
21473,21257,20132,23076,preheat
21465,21231,20133,23074,preheat
21447,21211,20129,23068,preheat
21429,21180,20113,23062,preheat
21397,21146,20080,23052,preheat
21375,21111,20044,23040,preheat
21338,21065,20002,23030,preheat
21305,21027,19959,23015,preheat
21269,20980,19914,22998,preheat
21238,20926,19858,22980,preheat
21196,20879,19803,22960,preheat
21160,20833,19753,22938,preheat
21120,20792,19695,22918,preheat
21085,20756,19641,22895,preheat
21057,20729,19601,22881,preheat
21033,20706,19567,22868,preheat
21027,20704,19536,22848,preheat
21024,20710,19514,22833,preheat
21027,20725,19497,22828,preheat
