adc_mq135,adc_mq136,adc_mq137,adc_mq138,adc_mq2,adc_mq3,adc_tgs822,adc_tgs2620,status
20901,3042,13845,13848,6082,21725,13443,18583,preheat
20911,3047,13842,13837,6082,21747,13457,18594,preheat
20897,3040,13830,13847,6082,21710,13457,18584,preheat
20910,3059,13831,13839,6083,21725,13454,18577,preheat
20899,3036,13823,13839,6079,21730,13455,18588,preheat
20900,3042,13838,13826,6085,21724,13455,18578,preheat
20902,3032,13839,13834,6086,21729,13455,18582,preheat
20907,3035,13843,13851,6083,21732,13452,18583,preheat
20923,3050,13824,13842,6082,21737,13465,18584,preheat
20904,3034,13833,13839,6082,21728,13458,18577,preheat
20916,3054,13842,13824,6084,21722,13445,18582,preheat
20903,3031,13823,13830,6085,21728,13455,18588,preheat
20907,3069,13840,13836,6084,21718,13456,18581,preheat
20941,3030,13840,13829,6079,21745,13459,18583,preheat
20920,3201,13844,13844,6080,21754,13449,18574,preheat
20916,3038,13839,13839,6087,21740,13448,18589,preheat
20917,3026,13830,13845,6082,21703,13454,18583,preheat
20916,3048,13825,13833,6079,21724,13458,18576,preheat
20907,3041,13832,13833,6081,21716,13451,18579,preheat
20896,3036,13843,13823,6087,21727,13447,18589,preheat
20888,3041,13839,13854,6079,21721,13458,18589,preheat
20929,3042,13821,13833,6079,21724,13449,18574,preheat
20913,3039,13841,13845,6077,21730,13453,18574,preheat
20924,3039,13832,13832,6087,21718,13441,18596,preheat
20885,3059,13842,13836,6081,21725,13456,18583,preheat
20921,3034,13820,13844,6083,21706,13458,18582,preheat
20899,3044,13844,13831,6085,21753,13446,18568,preheat
20915,3035,13843,13830,6087,21719,13449,18583,preheat
20894,3055,13847,13836,6085,21734,13455,18587,preheat
20913,3059,13819,13834,6084,21733,13461,18581,preheat
20913,3051,13836,13847,6084,21733,13449,18579,preheat
20906,3061,13830,13832,6088,21729,13451,18582,preheat
20896,3032,13825,13836,6084,21704,13463,18584,preheat
20903,3028,13817,13825,6082,21711,13444,18569,preheat
20901,3045,13842,13832,6076,21725,13448,18581,preheat
20916,3041,13836,13834,6088,21737,13447,18586,preheat
20898,3036,13838,13849,6083,21723,13455,18591,preheat
20922,3046,13832,13838,6087,21720,13453,18581,preheat
20901,3036,13835,13829,6084,21747,13450,18576,preheat
20904,3057,13834,13843,6086,21708,13449,18582,preheat
20892,3046,13840,13825,6084,21754,13444,18589,preheat
20914,3039,13835,13842,6083,21735,13455,18579,preheat
20915,3033,13822,13839,6082,21735,13443,18582,preheat
20907,3040,13828,13847,6080,21728,13449,18574,preheat
20903,3069,13827,13829,6088,21712,13445,18591,preheat
20906,3050,13826,13830,6087,21746,13454,18576,preheat
20917,3037,13826,13846,6087,21697,13457,18587,preheat
20897,3047,13833,13822,6085,21729,13453,18573,preheat
20917,3037,13843,13834,6083,21736,13454,18579,preheat
