adc_mq135,adc_mq136,adc_mq137,adc_mq138,adc_mq2,adc_mq3,adc_tgs822,adc_tgs2620,status
21024,3059,14532,14550,6128,22142,14986,18859,preheat
21071,3038,14518,14554,6134,22134,15086,18847,preheat
21034,3026,14524,14531,6130,22112,15087,18871,preheat
21026,3046,14530,14568,6133,22133,15096,18861,preheat
21040,3031,14518,14545,6133,22127,15101,18865,preheat
21021,3041,14521,14539,6135,22161,15096,18858,preheat
21053,3054,14519,14549,6130,22140,15091,18847,preheat
21011,3047,14525,14545,6131,22123,15094,18873,preheat
21031,3030,14542,14551,6135,22144,15088,18850,preheat
21050,3025,14529,14540,6127,22129,15093,18843,preheat
21007,3056,14508,14544,6136,22146,15093,18862,preheat
21042,3060,14527,14564,6133,22159,15080,18857,preheat
21041,3039,14525,14539,6134,22133,15092,18857,preheat
21032,3045,14525,14557,6130,22106,15093,18860,preheat
21048,3048,14528,14549,6130,22144,15089,18856,preheat
21017,3026,14517,14518,6132,22130,15098,18849,preheat
21079,3024,14517,14551,6133,22147,15093,18861,preheat
21043,3035,14528,14547,6131,22130,15074,18854,preheat
21013,3041,14523,14549,6129,22130,15092,18861,preheat
21036,3025,14536,14555,6131,22139,15090,18864,preheat
21018,3021,14518,14554,6128,22136,15091,18857,preheat
21036,3027,14524,14518,6128,22169,15090,18846,preheat
21045,3039,14512,14545,6130,22139,15095,18854,preheat
21038,3032,14503,14537,6135,22137,15087,18848,preheat
21024,3039,14519,14517,6130,22116,15078,18852,preheat
21031,3028,14524,14541,6133,22139,15094,18852,preheat
21038,3039,14525,14543,6134,22133,15077,18864,preheat
20999,3060,14523,14540,6130,22097,15087,18844,preheat
21026,3032,14519,14550,6131,22140,15075,18847,preheat
21016,3031,14520,14546,6133,22143,15102,18875,preheat
21029,3026,14522,14543,6131,22158,15090,18839,preheat
21027,3035,14507,14532,6139,22139,15089,18858,preheat
21034,3022,14505,14548,6127,22152,15084,18831,preheat
21029,3032,14527,14544,6131,22133,15082,18855,preheat
21030,3048,14506,14549,6132,22088,15094,18858,preheat
21012,3040,14537,14525,6128,22144,15076,18849,preheat
21015,3067,14521,14545,6127,22107,15097,18839,preheat
21073,3040,14516,14534,6129,22142,15082,18843,preheat
20993,3032,14518,14517,6137,22130,15084,18853,preheat
21062,3033,14500,14537,6129,22160,15083,18848,preheat
21029,3039,14513,14529,6133,22124,15071,18865,preheat
21019,3032,14488,14538,6133,22116,15091,18852,preheat
21018,3032,14523,14544,6135,22110,15078,18848,preheat
21007,3034,14521,14546,6126,22136,15085,18838,preheat
21018,3019,14511,14542,6127,22148,15082,18834,preheat
21016,3033,14510,14539,6134,22117,15089,18856,preheat
21037,3032,14514,14552,6128,22161,15092,18844,preheat
21040,3038,14528,14540,6135,22138,15072,18852,preheat
21038,3030,14501,14549,6135,22102,15081,18848,preheat
21013,3039,14529,14546,6132,22127,15065,18841,preheat
21017,3022,14515,14539,6130,22120,15093,18854,preheat
21037,3022,14490,14531,6132,22130,15085,18839,preheat
21011,3032,14518,14521,6128,22134,15070,18842,preheat
21025,3025,14516,14530,6133,22135,15078,18844,preheat
21023,3026,14516,14542,6133,22105,15076,18852,preheat
21007,3021,14515,14533,6126,22105,15076,18838,preheat
21028,3028,14525,14532,6130,22133,15076,18841,preheat
21008,3047,14502,14530,6136,22138,15077,18846,preheat
21026,3043,14503,14535,6130,22127,15068,18835,preheat
21028,3045,14507,14519,6131,22141,15068,18857,preheat
21009,3024,14510,14555,6133,22119,15076,18858,preheat
21017,3031,14511,14525,6128,22144,15070,18835,preheat
21006,3030,14493,14524,6132,22111,15082,18851,preheat
21026,3054,14513,14536,6126,22155,15075,18839,preheat
21043,3062,14513,14535,6130,22116,15069,18845,preheat
21025,3045,14503,14533,6131,22125,15086,18846,preheat
21008,3018,14533,14526,6130,22108,15070,18845,preheat
