adc_mq135,adc_mq136,adc_mq137,adc_mq138,adc_mq2,adc_mq3,adc_tgs822,adc_tgs2620,status
22816,3244,18737,18583,8439,23569,21948,22699,preheat
22789,3267,18714,18557,8442,23501,21932,22702,preheat
22800,3256,18720,18563,8427,23513,21930,22687,preheat
22776,3271,18717,18551,8445,23513,21922,22687,preheat
22757,3261,18729,18575,8436,23494,21924,22712,preheat
22810,3268,18710,18549,8432,23510,21911,22678,preheat
22776,3230,18725,18561,8443,23513,21933,22701,preheat
22776,3253,18705,18544,8430,23535,21924,22681,preheat
22820,3244,18738,18576,8579,23556,21941,22713,preheat
22779,3266,18697,18561,8428,23507,21919,22678,preheat
22794,3272,18693,18527,8430,23500,21908,22697,preheat
22764,3244,18702,18545,8436,23512,21934,22707,preheat
22761,3257,18702,18553,8438,23497,21920,22686,preheat
22781,3267,18721,18565,8431,23481,21911,22706,preheat
22806,3236,18721,18561,8436,23509,21914,22677,preheat
22767,3239,18711,18548,8436,23519,21909,22670,preheat
22769,3245,18715,18543,8439,23526,21898,22678,preheat
22796,3279,18698,18558,8440,23544,21918,22677,preheat
22782,3235,18685,18538,8429,23515,21919,22689,preheat
22810,3238,18713,18541,8432,23510,21889,22691,preheat
22759,3239,18705,18530,8435,23534,21897,22681,preheat
22797,3253,18711,18558,8434,23509,21897,22697,preheat
22785,3229,18704,18552,8440,23505,21934,22718,preheat
22773,3265,18702,18565,8440,23488,22014,22681,preheat
22754,3239,18714,18540,8430,23509,21888,22668,preheat
22789,3244,18703,18521,8434,23494,22013,22683,preheat
22756,3233,18695,18558,8432,23524,21896,22683,preheat
22800,3248,18679,18526,8432,23519,22010,22690,preheat
22770,3241,18698,18547,8445,23546,22012,22697,preheat
22764,3268,18691,18538,8434,23523,22012,22669,preheat
22802,3249,18710,18565,8443,23531,22008,22685,preheat
22775,3237,18702,18555,8428,23500,21913,22690,preheat
22773,3239,18719,18543,8437,23527,21988,22687,preheat
22806,3245,18713,18532,8437,23514,22014,22678,preheat
22782,3253,18696,18553,8425,23539,21914,22694,preheat
22771,3238,18690,18521,8433,23513,21889,22694,preheat
22801,3242,18698,18520,8429,23518,22002,22674,preheat
22798,3256,18679,18517,8438,23510,21979,22670,preheat
22787,3267,18690,18545,8425,23520,22004,22679,preheat
22762,3273,18694,18534,8447,23508,22011,22708,preheat
22796,3245,18723,18563,8434,23496,22004,22690,preheat
22754,3251,18693,18525,8434,23518,21978,22659,preheat
22786,3238,18697,18540,8434,23500,21997,22671,preheat
22801,3251,18682,18526,8424,23511,21988,22677,preheat
22763,3234,18694,18523,8436,23521,21987,22681,preheat
22791,3243,18671,18505,8425,23528,22005,22703,preheat
22821,3250,18709,18539,8439,23543,21992,22684,preheat
22779,3270,18652,18523,8428,23508,21976,22672,preheat
22763,3244,18690,18512,8433,23502,21981,22675,preheat
22767,3236,18683,18523,8430,23515,21978,22680,preheat
22782,3236,18718,18552,8427,23513,21982,22676,preheat
22754,3250,18689,18529,8425,23488,21961,22670,preheat
22770,3237,18694,18530,8428,23547,21979,22675,preheat
22758,3235,18673,18506,8430,23506,21980,22521,preheat
22791,3244,18664,18510,8429,23518,21965,22522,preheat
22787,3234,18678,18493,8429,23505,21966,22691,preheat
22790,3240,18666,18526,8425,23527,21950,22662,preheat
22775,3244,18687,18501,8430,23518,21952,22688,preheat
22783,3251,18675,18525,8418,23519,21978,22680,preheat
22769,3265,18699,18530,8432,23500,21963,22694,preheat
22767,3256,18685,18506,8422,23489,21955,22669,preheat
22751,3232,18671,18505,8422,23529,21926,22657,preheat
22771,3229,18674,18530,8414,23488,21966,22666,preheat
22776,3242,18669,18510,8417,23513,21962,22661,preheat
22762,3259,18672,18503,8421,23515,21952,22686,preheat
22763,3248,18645,18484,8410,23525,21925,22516,preheat
22780,3242,18690,18506,8430,23509,21940,22524,preheat
22762,3266,18668,18517,8409,23521,21952,22680,preheat
22774,3235,18677,18505,8421,23498,21946,22663,preheat
22751,3237,18669,18500,8417,23517,21945,22657,preheat
22770,3242,18674,18493,8408,23513,21934,22503,preheat
22778,3242,18675,18503,8421,23516,21952,22656,preheat
22777,3238,18652,18492,8406,23514,21949,22661,preheat
22775,3247,18649,18491,8414,23525,21919,22656,preheat
22740,3250,18661,18490,8408,23512,21924,22521,preheat
22787,3236,18660,18500,8419,23536,21954,22663,preheat
22730,3262,18668,18517,8414,23498,21933,22665,preheat
22776,3238,18669,18515,8415,23504,21936,22523,preheat
22739,3251,18651,18468,8411,23546,21910,22659,preheat
22759,3254,18629,18502,8412,23524,21952,22670,preheat
22798,3256,18670,18517,8404,23519,21929,22525,preheat
22744,3252,18649,18499,8407,23501,21929,22671,preheat
22786,3236,18667,18491,8403,23535,21930,22518,preheat
22785,3232,18635,18474,8408,23518,21908,22657,preheat
22756,3238,18657,18501,8400,23502,21939,22526,preheat
22764,3257,18642,18492,8405,23490,21901,22506,preheat
22742,3240,18658,18483,8415,23524,21931,22674,preheat
22780,3245,18631,18466,8393,23513,21900,22512,preheat
22780,3252,18655,18472,8402,23504,21903,22656,preheat
22742,3244,18653,18491,8410,23479,21899,22514,preheat
22764,3250,18643,18499,8417,23549,21912,22667,preheat
22756,3272,18636,18448,8396,23522,21898,22507,preheat
22772,3250,18639,18483,8390,23511,21915,22512,preheat
22759,3234,18638,18478,8391,23468,21896,22513,preheat
22748,3244,18647,18476,8401,23495,21913,22503,preheat
22750,3240,18638,18462,8392,23542,21757,22509,preheat
22778,3247,18630,18444,8392,23502,21752,22519,preheat
22772,3248,18640,18480,8393,23523,21896,22663,preheat
22748,3248,18640,18472,8390,23473,21752,22498,preheat
22760,3237,18642,18477,8403,23526,21912,22509,preheat
22767,3234,18619,18460,8398,23528,21757,22520,preheat
22776,3240,18631,18486,8392,23487,21749,22510,preheat
22744,3240,18648,18465,8387,23478,21758,22523,preheat
22750,3239,18626,18457,8384,23488,21755,22526,preheat
22780,3238,18637,18449,8392,23547,21747,22513,preheat
22761,3238,18638,18456,8394,23518,21736,22515,preheat
22727,3246,18633,18483,8384,23528,21893,22517,preheat
22748,3242,18614,18440,8375,23505,21746,22524,preheat
22755,3237,18604,18468,8378,23486,21738,22504,preheat
22758,3246,18641,18446,8382,23503,21730,22496,preheat
22747,3277,18643,18462,8388,23512,21742,22488,preheat
22779,3232,18633,18451,8380,23537,21752,22504,preheat
22765,3236,18611,18419,8377,23533,21743,22669,preheat
22779,3235,18645,18499,8398,23519,21759,22666,preheat
22735,3228,18659,18461,8382,23542,21718,22491,preheat
22760,3245,18625,18446,8384,23505,21737,22493,preheat
22752,3253,18618,18468,8368,23512,21732,22508,preheat
22758,3243,18630,18458,8381,23500,21737,22520,preheat
22757,3242,18641,18466,8382,23529,21726,22512,preheat
22744,3242,18626,18439,8373,23532,21717,22481,preheat
22781,3252,18617,18443,8373,23503,21705,22496,preheat
22746,3244,18620,18454,8362,23482,21714,22507,preheat
22742,3261,18605,18445,8369,23506,21724,22498,preheat
22766,3219,18612,18457,8382,23536,21727,22514,preheat
22744,3240,18593,18405,8369,23520,21689,22485,preheat
22757,3237,18623,18435,8374,23487,21716,22494,preheat
22744,3235,18626,18455,8357,23476,21702,22488,preheat
22749,3272,18604,18426,8372,23521,21721,22496,preheat
22774,3245,18605,18428,8374,23511,21683,22507,preheat
22738,3246,18614,18428,8363,23520,21696,22497,preheat
22713,3250,18608,18437,8369,23514,21686,22482,preheat
22723,3248,18620,18433,8351,23501,21708,22487,preheat
22755,3245,18566,18391,8357,23519,21700,22484,preheat
22748,3247,18582,18406,8370,23484,21683,22500,preheat
22733,3230,18617,18420,8368,23479,21684,22497,preheat
22753,3243,18608,18426,8368,23548,21704,22482,preheat
22762,3236,18611,18417,8351,23510,21683,22477,preheat
22747,3231,18585,18433,8351,23496,21688,22475,preheat
22727,3247,18601,18444,8362,23507,21691,22493,preheat
22736,3254,18613,18425,8363,23513,21693,22481,preheat
22778,3254,18604,18423,8368,23557,21697,22504,preheat
22781,3253,18634,18431,8356,23521,21685,22493,preheat
22756,3237,18587,18421,8350,23496,21692,22476,preheat
22749,3248,18586,18421,8348,23488,21657,22468,preheat
22733,3229,18612,18414,8357,23537,21686,22482,preheat
22754,3250,18575,18412,8353,23525,21673,22478,preheat
22774,3248,18606,18430,8348,23502,21668,22482,preheat
22752,3260,18591,18413,8341,23478,21663,22471,preheat
22752,3266,18578,18415,8344,23476,21672,22473,preheat
22723,3240,18601,18412,8346,23527,21660,22459,preheat
22751,3235,18559,18401,8336,23524,21654,22457,preheat
22754,3245,18586,18408,8334,23495,21647,22491,preheat
22723,3242,18561,18403,8332,23481,21683,22489,preheat
22748,3252,18576,18423,8339,23487,21647,22454,preheat
22700,3235,18594,18391,8340,23512,21660,22460,preheat
22744,3234,18581,18405,8341,23513,21646,22455,preheat
22744,3251,18592,18394,8330,23509,21641,22488,preheat
22729,3249,18569,18407,8336,23509,21671,22468,preheat
22716,3238,18567,18407,8329,23512,21749,22452,preheat
22708,3257,18586,18377,8335,23517,21642,22458,preheat
22783,3266,18561,18387,8328,23507,21650,22454,preheat
22748,3271,18589,18395,8321,23507,21637,22484,preheat
22728,3277,18553,18385,8325,23478,21636,22459,preheat
22713,3242,18574,18412,8329,23525,21754,22455,preheat
22700,3239,18558,18358,8331,23517,21656,22471,preheat
22764,3232,18568,18385,8443,23516,21645,22444,preheat
22719,3233,18557,18354,8442,23498,21735,22469,preheat
22736,3235,18564,18377,8322,23500,21737,22447,preheat
22707,3228,18568,18376,8445,23492,21739,22444,preheat
22721,3272,18562,18384,8443,23499,21753,22457,preheat
22733,3229,18548,18365,8441,23516,21755,22456,preheat
22740,3238,18562,18345,8437,23497,21733,22447,preheat
22706,3246,18557,18368,8445,23512,21743,22455,preheat
22718,3237,18566,18392,8444,23471,21723,22434,preheat
22712,3255,18557,18360,8440,23524,21758,22442,preheat
22732,3266,18541,18354,8440,23502,21751,22457,preheat
22732,3253,18562,18353,8436,23511,21722,22440,preheat
22708,3248,18544,18364,8437,23500,21727,22428,preheat
22711,3238,18571,18410,8438,23543,21750,22445,preheat
22714,3238,18541,18345,8429,23500,21727,22441,preheat
22729,3245,18524,18364,8427,23493,21713,22448,preheat
22709,3271,18572,18330,8424,23509,21710,22437,preheat
22712,3236,18552,18358,8433,23473,21739,22429,preheat
22727,3243,18547,18367,8426,23500,21707,22422,preheat
